service_date,route,direction,stop_id,events,otp,delay_med
2025-05-13,34,outbound,077072574C,3,0.0,-10.883333333333333
2025-05-13,34,outbound,079073001U,23,0.17391304347826086,-3.966666666666667
2025-05-13,35,outbound,077072001X,19,0.3157894736842105,-2.6
2025-05-13,35,outbound,077072584A,3,0.3333333333333333,-14.316666666666666
2025-05-13,36,inbound,075071202B,1,0.0,11.166666666666666
2025-05-13,36,inbound,075071243A,33,0.24242424242424243,-1.8333333333333333
2025-05-13,36,inbound,075071288E,8,0.25,-3.2
2025-05-13,36,inbound,077072549A,1,0.0,-4.15
2025-05-13,36,inbound,410000008248,51,0.35294117647058826,3.6333333333333333
2025-05-13,36,outbound,077072002S,1,0.0,-2.0833333333333335
2025-05-13,36,outbound,079073001P,43,0.13953488372093023,-5.366666666666666
2025-05-13,36,outbound,41000008NC69,49,0.2857142857142857,-1.7333333333333334
2025-05-13,36A,inbound,075071288E,5,0.2,-3.8666666666666667
2025-05-13,36A,inbound,077072872A,1,0.0,-7.633333333333334
2025-05-13,36A,outbound,077072002S,3,0.3333333333333333,-5.45
2025-05-13,36A,outbound,079073001P,1,0.0,-4.283333333333333
2025-05-13,37,inbound,077072835C,20,0.3,-1.5
2025-05-13,37,inbound,3100Z264671,27,0.2962962962962963,-2.0833333333333335
2025-05-13,37,outbound,077072002S,1,1.0,0.3333333333333333
2025-05-13,37,outbound,079073001P,20,0.2,-4.816666666666666
2025-05-13,37,outbound,410000007134,28,0.14285714285714285,-3.8916666666666666
2025-05-13,37,outbound,41000008NC83,1,0.0,-13.366666666666667
2025-05-13,38,inbound,077072530A,28,0.32142857142857145,-2.408333333333333
2025-05-13,38,inbound,410000009238,23,0.17391304347826086,-5.266666666666667
2025-05-13,38,inbound,410000009356,34,0.17647058823529413,-4.783333333333333
